Dateiname	Signatur	Titel	Link	Größe	Datum
HK468.jpg 	HK 0468	Plan der Stadt Braunschweig	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?qwaWXM.NzL3EMYoEGJWtWVrq3uGYqPYcNU9L.HZTHOWyRJHNh4rvwE3@Ku2EQ@l51mNVLwcKlS2gWL1iYM.b7SAkz9y@13vqRGUxrCUE5flKQX9xfB4CAXbD.4YycrxGReNziUz1held40qpV5y95w/HK468.jpg#	15855.51 KB	15.01.16
HK469.jpg 	HK 0469	Gegend um Berlin	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?4FTJl859LB@3LwAw3RZYPVOSorW4u7dzF.FI7apWj6h7JwxX4Ub6dZz8z3qDNsMDEJaT7Hu8GhfFIXkJ6WDYAZD.L8ABFlmOpI0Gm8Lgfxv93o5ml2epOq65jSkmSd89ZmaCB703f7jD10nkNHt@gQ/HK469.jpg#	12060.28 KB	15.01.16
HK470.jpg 	HK 0470	Plan der Stadt Antwerpen (Antorf, Anvers) nebst Citadelle	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?6PDssT8eO2AggM4u4x9X8SOfJowgUmEK5@4.p6PH1dM79BYsHrvWC2ZZreqhIVTnxWvaRwetCytwfYxaSPLJGlksydBaCrujCIsaPh@usdVnsylvBepmis@XLkqyBYn7StTX4Ci4Sd@3qTMyHZp@Nw/HK470.jpg#	14671.27 KB	15.01.16
HK471.jpg 	HK 0471	Cours-Karte des königlich Sächsischen Postbezirks	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?TiTGFcpXJmP9wXLjW6.GdCzXpIqD5PRfY80fXaaFVP9oikPrCyLCEHosRvxutrNjM7R2GtRgWRn@c1SNa1DijAQEFTCL6wjLyvob7pbXqJkJk2U9stRp7Sv7bHrZ603dYUhiRMAywcH7QAGSs9RRIA/HK471.jpg#	12233.89 KB	15.01.16
HK472.1.jpg 	HK 0472	Athenae	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?uVjI1lfPbTwNcWoLP1dYayxJgxC9ivfTnQm2OZGKjezfAcSjoSYiZYQJfZMBcqg3evsyPFD4VzNrz49osAKlh8bQxgvaXUbxWLY.UtHSOJZ3.v@Kuy1jbCt@4JSn6RO4jnRQOc2qFnXwKwi2Z0Q@PA/HK472.jpg#	5905.07 KB	15.01.16
HK472.jpg 	HK 0472	Athenae	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?UsTMX@NKLzsPw5gGWvlKXv8sRVysVcum9jZMcyY7oovJed4bHQWi.0TvIBLb8LcoVzlrDem2UvDDnA4NWzVvygUamikHOmSbIH3ALmksn8C@eVGQoUoZIguMRT336WsqyoZjCQczd0BkAzrmEbtpjw/HK472.jpg#	50963.75 KB	15.01.16
HK473.jpg 	HK 0473	Grundriss und Profil der Chemnitz - Riesaer Eisenbahn	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?UcXa6LaeG77zYS3iojDZknQTDM2ml47CzQVTdpLJ8UX6gV1xGCWaSwa8g65sRD0BckyYfgSQgU.Lur1Gh1a3M41YejMvtCyP0e4LuUf1fiD8L4nH2LyVJ03mqIhczI8P1ZJAuYzSb@WidPpA3sYE@Q/HK473.jpg#	11488.97 KB	15.01.16
HK474.jpg 	HK 0474	Höhenkarte, enthaltend die Höhen nach pariser Fuss von 234 Ortschaften und 272 Bergen	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?kfmPq3Rvsyit3a1bJkaXnvIzSbHYsR9eb0yu30YPRg1wblh.CC3sqiHFK0WDb82B6tLQ4ATxy3pw1y.8IlQ6jrLWvUOURN@FhEHOBiP4AggApDUTF2b5Enm0oWrmAZTfwzdESbkupDWc3SBYmJNE.Q/HK474.jpg#	13132.54 KB	15.01.16
HK475.jpg 	HK 0475	Map Of Shetland	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?R3kBugtvHeAQzinqITzL98cdKe4NxuQu64rz56DmUEIpY7GG1@TquO.xX8@MIujZMz9a45Az3AkfjtOMQ21RxUf32Wgoh.vBQG4j37i5R42rO2t.pcDhilpknYkRu@d3Y4Oy.lDDmPTowLt3ufo6qQ/HK475.jpg#	13562.74 KB	15.01.16
HK 0477a.jpg 	HK 0477a	Tabula Geographica Marchionat. Misniae et Lusatiae	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?NfOVJEqQnzlarVxDyxgIIJ0Q@9.ok.46pFuSz68AExcpnmF9bJXYLdLT15lN7Sl2zFXTKeDkch@BaUbnlaGLogDcGsM43TYKmVdB@qQ9BufYXPcr42u65dDy8dmiY.L3bgqSUva3sTQe6j9FfEj@B64MHCh2gsLK/HK%200477a.jpg#	4172.52 KB	jpg
HK478.jpg 	HK 0478	Der südliche Theil des Ober-Saechsischen Kreises	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?lyrH20b8GsSc65zk.xrFY@B@FxR.qzlPR8RDU.M8YGTyHCgX9TOVrmUVIoe5JaL5678ZHyIN7xhHp6Yjsed9yDmsRayxcS8v@jExZs.0EHVFovWNDQpffCY7cE7FvRRNadkAKfnyPa8eFqM0sGOw3A/HK478.jpg#	20682.83 KB	15.01.16
HK479.jpg 	HK 0479	Landgraviat. Thuringiae	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?EVsRx9qtNykaxzelSAx32jhau0PfxN3HL@GC5dxSABIlIvkcyvA9TFmow0g1YYnrFx8cjaIIu@KrLZk3XidktIVHmgGWUMWH2Fu0aDVLYYhzYeUk7IeUf5pdMykR7WD51QCpXbh09sSse0ZTEaGVHw/HK479.jpg#	20300.71 KB	15.01.16
HK480.jpg 	HK 0480	Geographischer Entwurff derer Aemmter Meissen als Creys-Procuratur-, Schul- und Stiffts-Ammt	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?g5RjlUZ8K75j9@WVG07c1oyDowBsJmpAqGVZVSL3y9GAE87kt7ESfrQvSb8v3ar2TeOlqDtyeiQdVqVYu4UAbkQlKRm3wK5isqv7Xyh.KA0U4HPM5FsgRON.0gI2QB39dPHFz1jbPfanFynzI9EINw/HK480.jpg#	18029.26 KB	15.01.16
HK481.jpg 	HK 0481	Illustrissimo Principi Ioanni Georgio Duci Saxoniae Hanc Thuringiae Lantgraviatus Tabulam Omni Animi Devotione Offert Et Inscribit Petrus Schenk	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?hijMkifWykyyPGZ1nFm1GRQ2xjA6tkRFmm4VS2iT9XlzPLktm69nIhe.B1WHqpkokOKJYhD55pjIAGxhOAS@mtsJzgAjGqAOP4aw0v0mf8LQdBx2J9t@qrDlRh5D4Pwl3GN4vIZlHo63JcmMK.yb6Q/HK481.jpg#	17625.81 KB	15.01.16
HK482.jpg 	HK 0482	Reduzirte Karte vom Sunda- Oder Borneo-Meere und den Strassen zur Verbindung desselben mit dem Indischen und dem Chinesischen Meere, der Macassar-Strasse &c	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?w5mF9ntptqS9wf2JazCZlD0BFc8Bm2IAW@K1hl60j@0XUqMd8QA1PBDF8HY9rZcPlo9zNBv0QlMUGs8sdvo4DsdhbKr83hYp1oecQrm2H1bGjrVvRs8gMw2ajbd7v6iK0J@WjmIffZYbo06TPNZhyw/HK482.jpg#	16101.40 KB	15.01.16
HK483.jpg 	HK 0483	Reduzierte Karte vom Chinesischen Meer	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?lyUT4F3sECBaCj@458H3jaiemI680h5rNv2pjiD@hheSKlmLHFQ6oWBN9PXru3dczgEqo7ROVSteeYA@.JZjDO6pI.GLN.iajt5K@7LAt2nCfd7.HHbzQ7bFff2Ej3oyG9c8f0kg74CefLORrDEr3A/HK483.jpg#	15466.52 KB	15.01.16
HK484.jpg 	HK 0484	Karte von der Insel Sumatra	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?A.frUayDImVRBVGvhUoN0ADw@BykKTCET7jsMxt709mNz0Q976uJ7MsDfrZemMPzK7gKkG8@6BK7C1SxAsCHvJ805pdr8iGtCeMjAxHNTQyEjq0GNcjvUpg@5fy@m4v@o9Fj73gfpuN@LoYKciQjpA/HK484.jpg#	16255.99 KB	15.01.16
HK485.jpg 	HK 0485	General Karte von Vorderindien zur Übersicht der Hauptverhältnisse	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?vhmQR4yKJYJvMsPhonsfv.DGTMD40F8AKhnwy@7Xl3rfW.zFbF0ERPAgIluw@OGJ4dSHc@1AVguxbcXZpqQ9jUVyN6FqIlb0qrYOxUIFoqlEGU2bfKvUtaIXqZL2Aqn3vi1Gjw3ukkD4GYADC6yahA/HK485.jpg#	20918.07 KB	15.01.16
HK486.jpg 	HK 0486	[Topographische Karte Altmark - Mittelmark, Elbe - Magdeburg]	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?T@@Gscv8cMtmLnIZXE1v9BceKQrwsROED.RCs6N537kYLljL6Qw6qVMcyRbA4@CHQF5LaBKA7bZJKoSyV5ol6Jm8@f.Ovh32WCKGsP4n9QP21g89kEmj8A7os4ZJ@6rIEfgz@yvoIKr8OcW6r1hkfQ/HK486.jpg#	23745.28 KB	15.01.16
HK487.jpg 	HK 0487	Die Provinz Pommern in ihrer reinen Begrenzung und der Beschaffenheit ihrer Bodenfläche	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?DlTFFyjJM4SB89KxHC6Y1k28j.4nBzIkJb6hFqvz9eSqTt8VCtPo6QwM@ufzgBD3AR3rPAzkPRnDRSCeDTvy7bvt@V@2JGUuwtFeiRXdHTvOA.SDYFXntkCyY7Zs4y3jW6RnFhx5s32s2phcTFjShA/HK487.jpg#	12361.99 KB	15.01.16
HK488.jpg 	HK 0488	Britische Inseln	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?liaXjyYhkaJpGDGhYmkqf3kSJYQ6GupQpb2xBedVPcE9y0CLae@EStoGEmY827bDyPVa1po0B1dgfmczF3InY84lVEKXtqbRyalHJFm6jCWdOEKNy8DF1PE9srEBCyJYA6bvxCIKVMlubIHutVTXJQ/HK488.jpg#	13699.75 KB	15.01.16
HK490.jpg 	HK 0490	Regiae Celsitudini Serenissimo Principi ac Domino Friderico Christiano Leopoldo Principi Regio Poloniae et Lithuaniae, Principi Electorali et Duci Saxoniae, Iuliaci, Cliviae et Montium, Angriae quoque et Westphaliae, Landgravio, Thuringiae, Marchioni Misniae et Lusatiae Superioris ac Inferioris, Burggravio Magdeburgico Principi Comiti Hennebergensi, Comiti Marcae, Ravensbergae, Barby et Hanoviae, Dynastae Ravensteinii Principi Electorali et Domino suo longe clementissimo Thuringiae Orientalis Tabulam hanc Geographicam summa mentis devotione consecrat subiectissimus devotissimusque servus	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?JU0Xzm294YndE2.mITK.@no9Pesz6V3oxoAJLyx@Ok2hL8fPqCB4cImUcxisdXYxg02BxFEakIpxv9SlBsCWSaNP1xdw8ZaFIHPJimo74NG5IxR4VAl4vgycBX28eOtAnGsDUdNawLsqt@sUBdcZyw/HK490.jpg#	15902.54 KB	15.01.16
HK491.jpg 	HK 0491	Karte von den Kurfürstlich- und Herzoglich-Saechsischen Laendern	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?ZPsttG.3PUb7LSXdfgg.aO3VncBl83v4KNXbsrLQ.bAU2E4.tUDtECakapC5EN8D9RogrLTnSyqW7VjDyyVFcQ2WPDCVanAzLlHpasdLGGZ9WaqmdYuOIwEM5pT0XcvimuCVUjlS8p1qbdPyeOsnkg/HK491.jpg#	27211.50 KB	15.01.16
HK492.jpg 	HK 0492	Der Voigtlaendische Kreis	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?1vcxK4Aqy2FCv3ZiU3BSvFVdp2leuF4p@AH124pqZOYOljj@ySBK473S6HDU2Ow6k.NVuZWMtDEx6ZYByFqD@a66g@SAqbAzAkZjhxXA8PJi5Wsm@XTifZGknl9racqOZ093nj2jv1rpPoqoRHJ2uQ/HK492.jpg#	7901.96 KB	15.01.16
HK494.jpg 	HK 0493	Der Meissnische Kreis	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?264Q.WfZNU7n6Lrv9GbzFMCR@uEOWaSlqKKcduQy9jtazvJ@5m77ig3OZHCR2m0soW0@UYVv0SFA.474F8VktVDZ3ubARjxQbRrggEW7e1Qwk9Jd1T5zC0uGlZSDAZ4MyqqVZZNWU0uwoq4yUnE4Zw/HK494.jpg#	7367.30 KB	15.01.16
HK493.jpg 	HK 0493	Der Meissnische Kreis	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?yO5cdjbTa65ghatgLkIK1VSTo7TpAAXMhvZNZpkXopmjMuXCsLbbFnMU6@jHMYVYgdeLbsxAiV6pe4nccmLXh4DZ6cFw11UEHaw0NTnLOb6nkd5Hs@a0ZK1int7vcz3fUOXyUcJnQ3b6FHDVv5gF8w/HK493.jpg#	8169.79 KB	15.01.16
HK495.jpg 	HK 0495	Der Erzgebirgische Kreis	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?Wkkr7R6KbzfjDARtdnTVUOk.yktfMgSKdX.vqVU423zA1afeGiNFH0XVpWiU0HNkw5wHSVepTE3JXJ.TuesLLeyQOwYXorYc8v1cDdlwcqwtTmmHqsq4AF96wF8TCh5dsqW6AKj.yvkJrSVLE1EpQw/HK495.jpg#	8050.29 KB	15.01.16
HK496.jpg 	HK 0496	Die Ober Lausitz Koenigl. Saechsischen Antheils	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?cPUmLSmZYaNS4yX40ONblwZvDvhxtd1.mB2u.kMJx7EPArsACc3TDaTAptZwXwUJKvym9P@4j18ISP4soMjrR4LaJCRDVORA3ZzNjcJQEysExxBVKFFYzNpEjUqATpdJDwkpVNEUW6r8DVYvorzwNQ/HK496.jpg#	7229.60 KB	15.01.16
HK497.jpg 	HK 0497	Charte der Ephorie Meissen	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?rcC2Nd1Oi.OCr.dLDXcrH03o6zcAuF.JpGznSX.nQh1XSHNzWDyfSKoIHkXuti@FHepLRAI0GF3sAczFEoY9XTHW9odovxS3PDw5Fed4ps2Poqe5GkZBpKwNP2@tlaaW4lxPOiZkpyiwakhW8R5N5g/HK497.jpg#	4477.42 KB	15.01.16
HK498.jpg 	HK 0498	Das Kur-Herzogthum Sachsen in seinen früheren Bestandtheilen	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?M5XwVsbQQor7kUdXpihIfa5ZY.9Pqb1MR83ENwGJxv8zm0nxiQI6HaHRhF.HfUQEuYZbIvMA33BzHW8e8CFpdUvLOQxWhyZABXKaqA7cJ5O0qirPR9Ty1wAmCqpMMg48wNU.pqeici4@P.KzmpAu.Q/HK498.jpg#	3741.92 KB	15.01.16
HK499.jpg 	HK 0499	Das Albertinische Sachsen in seinen vier Linien	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?wX7xbJQU2k68OSQZ5@NqIuarJ@5Sy3jUbsN78emHxX4U7tCFeHYotsMRl@VY1NE8B5TqCQmTGyepG@ccP2TdDLF36oVWijtMRMsrlqaeU1Tsh0DPW.2BHo0C7HQgzb85aUE8IknOrtGcyGpIn3YsWQ/HK499.jpg#	4398.42 KB	15.01.16
HK500.jpg 	HK 0500	Tabula Compendi[os]a Saxoniae, Thur[ingiae], Misn[iae] et Lusatiae	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?JmNuSc2xtU1PILiaEBIT0zz3FxXVsCgrkxVgHv5h@sW33FzAsKWo8RmPFn7FUsPnC1VvM@ontZtwFpy.xdwWFb7M.VvPJ6Pu3u3fu2UrryiRqmhJLR2Fy1FJe5TAWBURCxHBzp5JRJ4ZzJUHeJaypg/HK500.jpg#	4497.05 KB	15.01.16
HK501.jpg 	HK 0501	Die Anhaltischen Herzogthuemer Dessau, Bernburg, Köthen	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?HThyOaczivvv7e1IXCOV29kXkayFrlEyXW.04kSmWDoD4uhl77Y18bO1A5xdukf0dwp2o1xPREHCQgMr.wDLMVfTFeeroEZy5WfU8Y9P7RTekLxdkWZbGrhJGJ98TrPUI2Wfz4UdU4BKC9X8ecV6xQ/HK501.jpg#	7015.83 KB	15.01.16
HK502.jpg 	HK 0502	Charte den südlichen Theil des Obersächsischen Kreises vorstellend	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?sIdbN7bBAxUsSP.ZUW5NapUcJt4sVZT6IH7Z4KU6yfEoDMQFIi7NN.d.Mu8IwmblavGGT.lJpnR1EFUEE8Ks10rik46lbNJixzVP1oXs1PRBp8NPUEUgAaWwWuHjwF@079S0DyibD0PDs.zA2d2QuA/HK502.jpg#	15684.26 KB	15.01.16
HK503.jpg 	HK 0503	Derer zu dem Thuringischen Creisse des Churfürstenthums Sachsen gehöhrigen Aemmter Sachsenburg und Weissensee richtige Delineation	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?kpAE7dsHHacPZUBYfgswQ3DElXlIdHzZXhH9P876OQjj3Q6X4kg2Mm1NYpGR3arU8GWyg4Kdm1Jrzz9YjHbhaQCTmYZIopPK4UWYIP@u@ZUZv.bcq2xymHhfZ3TlevDwpHdjYpKFNUS.pXMWluxPvQ/HK503.jpg#	14706.18 KB	15.01.16
HK504.jpg 	HK 0504	Accurate Geographische Delineation des Zu dem Chursaechsischen Thüringen Gehörigen Ammtes Langensaltza	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?ni0WD052x7GbhGTnJQRLfw2FBdNFznnRQeCUKosM7hwXZXxb.dnPyDeuEPAeV1DuBoKhJTteEFzfMi3MkSyuL8ULTMNxV9Zy5uierE8glmbtNQdLeISLSU7as6KFexpUFe8aEA0xRxcpgmGh.NEVaA/HK504.jpg#	15374.06 KB	18.01.16
HK505.jpg 	HK 0505	Accurate Geograph. Delineation Des Zu Dem Churfürstenth. Sachsen Gehoerigen Neustaedtischen Creisses Und Derer Darinnen Befindlichen Aemter Arnshaugk,Miltenfurt, Weyda Und Ziegenrück	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?qJyasIQrCEvO59YKxwYGzEnmCHfVoqU8l0XrAM8uFSOgYvoCvV4wg7c5xeE.yw3a@ftCmwhrtU8KVw7SjQD1DJIDfJ9MwOCNzawP4w.a9JZjlKvD7J00uq5QZtkwEcmqYKQI3@FAhBvv8N1cUmalSA/HK505.jpg#	17579.25 KB	18.01.16
HK506.jpg 	HK 0506	Accurate Delineation Derer Hochgraefl. Reussischen Herrschafften Lobenstein Und Ebersdorff Nebst Der Pflege Hirschberg	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?xplJ.ArnRej0sfiSP2x@k72lcQtghARtsx0lBwR7n08nn0Jx1cHaRq5lSc1kCYpU.YNW5te.0cXKvYPE63im6O@4GgLeZBhHXa@@KaKZEjTwIQnE.WmBvbKzkRoG89YZiKZB69eXoed3gbD3phtKYg/HK506.jpg#	14665.11 KB	18.01.16
HK507.jpg 	HK 0507	General Charte von dem Koenigreiche Sachsen	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?Pe.JDGthzz.2CQEmDz@R4s40DqJxa1csty7HRwsEkQaRVMirGeW@sxWodZMX1ls2fz7@dweowCttpRqxMdbE@YxOZCEXWJ5EhCvBv43t3VlMTxWk@h5xzG3EaCsb1bvaAI4z32jxJ9rAuPk@sMAuwA/HK507.jpg#	20536.02 KB	18.01.16
HK508.jpg 	HK 0508	Das Königr. Sachsen mit den Kurfürstlich und Herzoglich Saechsischen Laendern	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?bD8CWyiO8Wag06SB9qxrarxND8QjXPmcAosWI74Of8lt4RbWvr23jG@xTJv8qEFKjNnZchqL6QBjohW8AxcF3GsJpErU5oQM5T7Bi.3.ew@BBYsORLErKqCZzqjzyz10HPv2H.aPY1evbXbn9wgOGA/HK508.jpg#	25330.55 KB	18.01.16
HK509.jpg 	HK 0509	Karte vom Königreiche Sachsen	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?@NCxhRhtixNTKOnoNgoCjDB5v.wmX9OgnmandzVnnLmZDbloE6J0LJz5PrBSyvWOSVMlPINT9vo4iJ47QXrs1c7K9kkS805eevSHa8072EU1aNzO3vW.UsJpoZPbVSfohlt5Bp.WgePLfJ4iU0tu5Q/HK509.jpg#	7322.50 KB	18.01.16
HK510.jpg 	HK 0510	Karte vom Koenigreiche Sachsen	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?PXcKseoMIPNG.OX8YQwcOpyRK7WzSSmxDEFdNA5JO9L0M7nj4Y80cesEuSTl@.dnkxcB3qspUx3SH5T15Vxb91RZ9En.R@jsVE8zjN7Au7N7h60aCkCKaBJiLt8zQzYp0UhXByFBJB7DDVYSf.lbUw/HK510.jpg#	12340.70 KB	18.01.16
HK511.jpg 	HK 0511	Charte von dem Koenigreich Sachsen	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?VcSGMOPasMPFgCITiuw5cW78TOtE9i8JBfTsgolYXdPKBQC1KxS9uOma@InRSYCXhlw220DyJ@K69YIIyDeMFdWIZl3Sf4u86afWO83pJ1pQuVLftaFIMiBWXUyLdJpepOMMWN2pI3f6IdjP7fu0Hg/HK511.jpg#	8419.86 KB	18.01.16
HK512.jpg 	HK 0512	Der Voigtlaendische Kreis	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?yMBoZPjjHu6461mdhj9zuNv46lpM4488nhTSCi9S71Q06NtJcXo4DaVmKCkcvs8LC5qmFuF7WDbE.JBL0S892UrK@kNkCEEQOB6JnfeULsH@uDmN1hoRkmLNOyYn5a9rLM.ib7pEduBSml4MG0dJJA/HK512.jpg#	8350.69 KB	18.01.16
HK513.jpg 	HK 0513	Der Meissnische Kreis	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?WkZ0qcrfXsG4ErXsWcUUe.1CZGvyjmNbo.a.sNpyd.fEqfLeMnoSFAMJ1goCi5iU1x@LruJckyeFknHtcv7b64YYEwIq.OZu4XA6LpX21BKd@9VeHHZcfxTezo8.GtNbwKWAvBtkXZSAKYVnUiok9Q/HK513.jpg#	7613.02 KB	18.01.16
HK514.jpg 	HK 0513	Der Meissnische Kreis	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?NZpkE5GPFGrjWdNX.3WnJXEMua3gfcvuRdM1BF99dCDN0hXvEBZcGebBce2eWE7@jNvmnifKl9WZzRhNdhUM7ZgQHs6G4Hnm7qz9Woe9OCIkm9KlQ1sG1p98ZoQ05UynW.gT6bRqHoPL0PkP8II8vQ/HK514.jpg#	7812.86 KB	18.01.16
HK515.jpg 	HK 0515	Die Ober Lausitz Koenigl. Saechsischen Antheils	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?vmK9IefUcWrobWbc4OV0K75GLfQGNInYeMtmClRMMOfdr9ShTAyAszf8kJF0RyISIuPOJfiwNFYdCEOnl9Z9lPl7G2DlZlTattbuXV8CUAK8hCceiHNN92L@fchVNkmiLWFsF8pS9Uhm6mRbIQ8hNQ/HK515.jpg#	8459.05 KB	18.01.16
HK516.jpg 	HK 0516	Der Erzgebirgische Kreis	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?mCe9hJzT6aRXsEGG@UzupLt4uf8FwXYu5Cm.2IVknXO6yCZAvD6GAm2zXh5gVn8Pt@g6erwVS1gvsvgl@7nymLBm7wWXPLQDinWERVYvuPnvMzLq.yvT3ihRomKtJBIFmWEmJdU4aHNf3VJIeHFzZA/HK516.jpg#	9927.61 KB	18.01.16
HK517.jpg 	HK 0517	Charte vom Königreiche Sachsen	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?kTfw4aPYjI6BCrIKDXa437qnb2KXI9Bqtw0roYgTAvx@Jjma85syJwDYagMQ3NeWl2EDC6eLQh1wWbCyWkxJN7GKv5icPFC5FPDjqlJ1cjcuFrmGPeH@I4wpkJQgsLnbaOrcFIs0SjBT8GmDPKS4dg/HK517.jpg#	21986.61 KB	18.01.16
HK518.jpg 	HK 0518	Das Koenigreich Sachsen	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?GCEZhyPO2Ceat8x0.qLwntBcdhgWFEYs.CrQwpZfQXqzfRIiFyZJDuyUkiN8INj9wW5KUsMZTewRTSd5SgVa4UX9hH@62QvPLISBC4CMIjoKWHglO00LVMTHDaw5YL4@IdRLq.nRxsoemo4gbiucGQ/HK518.jpg#	14746.63 KB	18.01.16
HK519.jpg 	HK 0519	Schulkarte des Koenigreichs Sachsen	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?ensH5RuoSM.aCtiu7IZNNNQ3mEDkMvBOujssOzfSBzT4CcwcyzTAiwzOIa.BGJeg0O0qg@3hSwIylgROsZNxDkjG4bariRQq0ydJLfBZcoqlABvE76REUduvN0Lv8lNCT3.Sk5fic4KeKkSb7R6aAQ/HK519.jpg#	13776.16 KB	18.01.16
HK520.jpg 	HK 0520	Atlas von dem Preussischen Staate [Titelblatt]	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?jEWeDEL1IKPjTPT4e8yICbIyFC6LHrDM0WHQRc.TrhFciiksppm6BPz.fuehtYd62O8Q7H5BVrQv6bNaUPHB5jbhHKfw6KlZnzJHub6ebET@m.ESZw3eH9gRy7XgqXa77U2PGHxO6NVWBTMxqnn4Fg/HK520.jpg#	10956.65 KB	18.01.16
HK521.jpg 	HK 0521	Die Provinz Sachsen in ihrer reinen Begrenzung und der Beschaffenheit ihrer Bodenfläche	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?sseMR4y6yXZjQsCe47WNHwYGFwzM9kC3ysBTunWAi43s.35Vw6HgD5JnTP65sPF@OptcwkGtxgA.4xW2lNZ.ZcB7wpi6ZdegPMAsxA6pwmEMkUieZaFzzIrkzRaKH7JS8PaFw9EzAjVSusUNNnrL3Q/HK521.jpg#	11880.07 KB	18.01.16
HK522.jpg 	HK 0522	Charte vom Königlich Preussischen Regierungsbezirk Gumbinnen	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?BE83AywVGgwJlR1w4PPMnhFDFpMnMIk3ywALlLkaE89p@RzIbhJNdBHA.CbZWHAIxrO8YGyV0e1DJpr55vkC8pmMzFJ1fhoTMbiiHHuZcVBFspCOE44f0sEWT4eRZa@0XpwvWp5QpXj5QSaf1M4pEg/HK522.jpg#	16082.50 KB	18.01.16
HK523.jpg 	HK 0523	Charte vom Königlich Preussischen Regierungsbezirk Minden	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?AtikEu5hGdsssZeWqVgvbhtP.VHCb5VgNPuxmOCu49OCwdb34Hv9Okbz3D9D34hnwMsgjufTDcCfn6BTsZ5hrsa.opJ3GcJ9FnV3kQNCwem65gmX5eRcdOJtGsK7ddU21OJ4MUZEj.5bA0BkqweVgQ/HK523.jpg#	15889.98 KB	18.01.16
HK524.jpg 	HK 0524	Effigies Romae antiquae repraesentans Romam quadratam et muros Servii ac Aurelii	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?YVNL5TZtcD2yLbUBEXLhv4y4KIMZs5fcAntZOx7IQmsHZRRc.jizIm4t6lv4rN4m3HTy3QxjTph6wZgtOSLa.lAB0lTbjP2.Asvbh.L07KjPRBg@r@L6ouQjnYZRLp5gxMBLbzRUbIOnjx9e5zw.PA/HK524.jpg#	3373.66 KB	18.01.16
HK525.jpg 	HK 0525	Rom aus der Vogelschau	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?zpnT.A6P5KOJGgF9EqznVRRJ4VCHq40NbdcaWAZFlC7HzRHfK8SjlA.8YoV7Ddj1e.pjtKy119.UrZyKyfDa8JIqf9ySZF@aeofxnZg6RW9ccITlUgK6pCnG4aAz6.BtUqJO4UoLg4siZ0@SjbNaSg/HK525.jpg#	2558.19 KB	18.01.16
